"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
2;"SW1";"SW_SPST_B3SL-1022P";1;"SW_PUSH";;;
3;"R7,R8,R9,R10";"R_1210";4;"39k";;;
4;"U1";"Optocoupler_SMD_LTV-817S";1;"LTV-814";;;
5;"Q1,Q2,Q3,Q4";"SOT-23";4;"PDTC123J";;;
6;"U3,U4";"MOC3021S";2;"MOC3021S";;;
7;"R15,R16,R17,R18,R19,R20";"R_1206";6;"360R";;;
8;"D5";"SOIC-4";1;"D_Bridge_+-AA";;;
9;"P3";"TerminalBlock_Pheonix_MKDS1.5-4pol";1;"POWER";;;
10;"TR1,TR2";"TO-252-2Lead";2;"TRIAC";;;
11;"TR3";"TEZ-28x33";1;"TEZ1.5-D-1";;;
12;"C2,C7";"C_0603";2;"100n";;;
13;"C6";"C_0603";1;"10uF";;;
14;"C8";"C_0603";1;"22uF";;;
15;"D6";"LED_0603";1;"Led_Small";;;
16;"J1,J2";"Molex_SPOX-5267_22-03-5035_03x2.54mm_Straight";2;"Conn_01x03";;;
17;"J3";"Molex_SPOX-5267_22-03-5075_07x2.54mm_Straight";1;"JTAG";;;
18;"J4";"Molex_SPOX-5267_22-03-5065_06x2.54mm_Straight";1;"Conn_01x06";;;
19;"J5";"Molex_SPOX-5267_22-03-5055_05x2.54mm_Straight";1;"SLIDER1";;;
20;"J6";"Molex_SPOX-5267_22-03-5055_05x2.54mm_Straight";1;"SLIDER2";;;
21;"Q5,Q6";"SOT-23";2;"BC850";;;
22;"R21,R1,R2,R4,R11,R13";"R_0603";6;"100R";;;
23;"R23,R24,R25,R26";"R_0603";4;"0R";;;
24;"R27,R28";"R_0603";2;"2k2";;;
25;"R29,R3,R5,R6";"R_0603";4;"10k";;;
26;"VR1";"RV_Disc_D9_W4.4_P5";1;"VR";;;
27;"C1";"C_0603";1;"10u";;;
28;"C3";"C_0603";1;"1n";;;
29;"D1,D2,D3,D4";"LED_0603";4;"LED";;;
30;"R12,R14";"R_0603";2;"220R";;;
31;"U5";"SOT-223";1;"LD1117S33TR";;;
32;"U6";"ESP32-WROOM";1;"ESP32-WROOM";;;
33;"C5";"CP_Radial_D10.0mm_P5.00mm";1;"1000uF";;;
34;"R22";"RV_Disc_D7_W5.5_P5";1;"PTCC";;;
